Horticulture,Area,Year,Value,Flags
Total olives (hectares),Total New Zealand,As at June 30 2020,858,
Total onions (hectares),Total New Zealand,As at June 30 1994,4929,
Total onions (hectares),Total New Zealand,As at June 30 2002,5621,
Total onions (hectares),Total New Zealand,As at June 30 2003,5748,
Total onions (hectares),Total New Zealand,As at June 30 2005,4931,
Total onions (hectares),Total New Zealand,As at June 30 2007,4594,
Total onions (hectares),Total New Zealand,As at June 30 2009,4511,
Total onions (hectares),Total New Zealand,As at June 30 2011,5142,
Total onions (hectares),Total New Zealand,As at June 30 2012,5718,
Total onions (hectares),Total New Zealand,As at June 30 2014,5067,
Total onions (hectares),Total New Zealand,As at June 30 2017,6009,
Total onions (hectares),Total New Zealand,As at June 30 2019,5920,
Total onions (hectares),Total New Zealand,As at June 30 2020,5588,
Total potatoes (hectares),Total New Zealand,As at June 30 1994,9524,
Total potatoes (hectares),Total New Zealand,As at June 30 2002,11082,
Total potatoes (hectares),Total New Zealand,As at June 30 2003,10931,
Total potatoes (hectares),Total New Zealand,As at June 30 2005,10850,
Total potatoes (hectares),Total New Zealand,As at June 30 2007,10050,
Total potatoes (hectares),Total New Zealand,As at June 30 2009,11398,
Total potatoes (hectares),Total New Zealand,As at June 30 2011,10724,
Total potatoes (hectares),Total New Zealand,As at June 30 2012,11578,
Total potatoes (hectares),Total New Zealand,As at June 30 2014,9163,
Total potatoes (hectares),Total New Zealand,As at June 30 2017,9450,
Total potatoes (hectares),Total New Zealand,As at June 30 2019,10317,
Total potatoes (hectares),Total New Zealand,As at June 30 2020,10901,
Total squash (hectares),Total New Zealand,As at June 30 1994,7509,
Total squash (hectares),Total New Zealand,As at June 30 2002,6560,
Total squash (hectares),Total New Zealand,As at June 30 2003,6804,
Total squash (hectares),Total New Zealand,As at June 30 2005,6981,
Total squash (hectares),Total New Zealand,As at June 30 2007,7774,
Total squash (hectares),Total New Zealand,As at June 30 2009,6825,
Total squash (hectares),Total New Zealand,As at June 30 2011,6467,
Total squash (hectares),Total New Zealand,As at June 30 2012,6837,
Total squash (hectares),Total New Zealand,As at June 30 2014,6501,
Total squash (hectares),Total New Zealand,As at June 30 2017,5794,
Total squash (hectares),Total New Zealand,As at June 30 2019,6783,
Total squash (hectares),Total New Zealand,As at June 30 2020,7070,
Total apples (hectares),Total North Island,As at June 30 1994,8413,
Total apples (hectares),Total North Island,As at June 30 2002,7334,
Total apples (hectares),Total North Island,As at June 30 2003,7588,
Total apples (hectares),Total North Island,As at June 30 2005,7078,
Total apples (hectares),Total North Island,As at June 30 2007,6004,
Total apples (hectares),Total North Island,As at June 30 2009,6055,
Total apples (hectares),Total North Island,As at June 30 2011,5734,
Total apples (hectares),Total North Island,As at June 30 2012,5621,
Total apples (hectares),Total North Island,As at June 30 2014,5410,
Total apples (hectares),Total North Island,As at June 30 2017,5428,
Total apples (hectares),Total North Island,As at June 30 2019,6519,
Total apples (hectares),Total North Island,As at June 30 2020,6865,
Total kiwifruit (hectares),Total North Island,As at June 30 1994,11331,
Total kiwifruit (hectares),Total North Island,As at June 30 2002,11206,
Total kiwifruit (hectares),Total North Island,As at June 30 2003,11607,
Total kiwifruit (hectares),Total North Island,As at June 30 2005,11316,
Total kiwifruit (hectares),Total North Island,As at June 30 2007,12462,
Total kiwifruit (hectares),Total North Island,As at June 30 2009,12652,
Total kiwifruit (hectares),Total North Island,As at June 30 2011,12504,
Total kiwifruit (hectares),Total North Island,As at June 30 2012,12256,
Total kiwifruit (hectares),Total North Island,As at June 30 2014,10421,
Total kiwifruit (hectares),Total North Island,As at June 30 2017,11218,
Total kiwifruit (hectares),Total North Island,As at June 30 2019,14461,
Total kiwifruit (hectares),Total North Island,As at June 30 2020,14915,
Total avocados (hectares),Total North Island,As at June 30 1994,1354,
Total avocados (hectares),Total North Island,As at June 30 2002,3080,
Total avocados (hectares),Total North Island,As at June 30 2003,3216,
Total avocados (hectares),Total North Island,As at June 30 2005,3372,
Total avocados (hectares),Total North Island,As at June 30 2007,3993,
Total avocados (hectares),Total North Island,As at June 30 2009,4104,
Total avocados (hectares),Total North Island,As at June 30 2011,3959,
Total avocados (hectares),Total North Island,As at June 30 2012,4140,
Total avocados (hectares),Total North Island,As at June 30 2014,3882,
Total avocados (hectares),Total North Island,As at June 30 2017,3964,
Total avocados (hectares),Total North Island,As at June 30 2019,4485,
Total avocados (hectares),Total North Island,As at June 30 2020,4825,
Total wine grapes (hectares),Total North Island,As at June 30 1994,3638,
Total wine grapes (hectares),Total North Island,As at June 30 2002,7412,
Total wine grapes (hectares),Total North Island,As at June 30 2003,7796,
Total wine grapes (hectares),Total North Island,As at June 30 2005,7887,
Total wine grapes (hectares),Total North Island,As at June 30 2007,8303,
Total wine grapes (hectares),Total North Island,As at June 30 2009,9060,
Total wine grapes (hectares),Total North Island,As at June 30 2011,8337,
Total wine grapes (hectares),Total North Island,As at June 30 2012,7949,
Total wine grapes (hectares),Total North Island,As at June 30 2014,8511,
Total wine grapes (hectares),Total North Island,As at June 30 2017,6976,
Total wine grapes (hectares),Total North Island,As at June 30 2019,6281,
Total wine grapes (hectares),Total North Island,As at June 30 2020,6579,
Total olives (hectares),Total North Island,As at June 30 2002,1224,
Total olives (hectares),Total North Island,As at June 30 2003,1297,
Total olives (hectares),Total North Island,As at June 30 2005,1418,
Total olives (hectares),Total North Island,As at June 30 2007,1283,
Total olives (hectares),Total North Island,As at June 30 2009,1286,
Total olives (hectares),Total North Island,As at June 30 2011,1130,
Total olives (hectares),Total North Island,As at June 30 2012,1132,
Total olives (hectares),Total North Island,As at June 30 2014,867,
Total olives (hectares),Total North Island,As at June 30 2017,647,
Total olives (hectares),Total North Island,As at June 30 2019,704,
Total olives (hectares),Total North Island,As at June 30 2020,682,
Total onions (hectares),Total North Island,As at June 30 1994,3874,
Total onions (hectares),Total North Island,As at June 30 2002,4555,
Total onions (hectares),Total North Island,As at June 30 2003,4594,
Total onions (hectares),Total North Island,As at June 30 2005,4131,
Total onions (hectares),Total North Island,As at June 30 2007,3880,
Total onions (hectares),Total North Island,As at June 30 2009,3809,
Total onions (hectares),Total North Island,As at June 30 2011,4293,
Total onions (hectares),Total North Island,As at June 30 2012,4610,
Total onions (hectares),Total North Island,As at June 30 2014,4275,
Total onions (hectares),Total North Island,As at June 30 2017,4900,
Total onions (hectares),Total North Island,As at June 30 2019,4377,
Total onions (hectares),Total North Island,As at June 30 2020,4322,
Total potatoes (hectares),Total North Island,As at June 30 1994,6164,
Total potatoes (hectares),Total North Island,As at June 30 2002,6171,
Total potatoes (hectares),Total North Island,As at June 30 2003,5743,
Total potatoes (hectares),Total North Island,As at June 30 2005,6016,
Total potatoes (hectares),Total North Island,As at June 30 2007,5476,
Total potatoes (hectares),Total North Island,As at June 30 2009,6704,
Total potatoes (hectares),Total North Island,As at June 30 2011,4998,
Total potatoes (hectares),Total North Island,As at June 30 2012,5442,
Total potatoes (hectares),Total North Island,As at June 30 2014,4667,
Total potatoes (hectares),Total North Island,As at June 30 2017,4772,
Total potatoes (hectares),Total North Island,As at June 30 2019,4652,
Total potatoes (hectares),Total North Island,As at June 30 2020,5358,
Total squash (hectares),Total North Island,As at June 30 1994,7139,
Total squash (hectares),Total North Island,As at June 30 2002,6534,
Total squash (hectares),Total North Island,As at June 30 2003,6786,
Total squash (hectares),Total North Island,As at June 30 2005,6721,
Total squash (hectares),Total North Island,As at June 30 2012,,c
Total squash (hectares),Total North Island,As at June 30 2014,,c
Total squash (hectares),Total North Island,As at June 30 2017,5707,
Total squash (hectares),Total North Island,As at June 30 2019,6741,
Total squash (hectares),Total North Island,As at June 30 2020,7001,
Total apples (hectares),Northland,As at June 30 1994,118,
Total apples (hectares),Northland,As at June 30 2002,71,
Total apples (hectares),Northland,As at June 30 2003,47,
Total apples (hectares),Northland,As at June 30 2007,30,
Total apples (hectares),Northland,As at June 30 2009,46,
Total apples (hectares),Northland,As at June 30 2011,29,
Total apples (hectares),Northland,As at June 30 2012,17,
Total apples (hectares),Northland,As at June 30 2014,25,
Total apples (hectares),Northland,As at June 30 2017,20,
Total apples (hectares),Northland,As at June 30 2019,,s
Total apples (hectares),Northland,As at June 30 2020,,s
Total kiwifruit (hectares),Northland,As at June 30 1994,715,
Total kiwifruit (hectares),Northland,As at June 30 2002,605,
Total kiwifruit (hectares),Northland,As at June 30 2003,601,
Total kiwifruit (hectares),Northland,As at June 30 2005,520,
Total kiwifruit (hectares),Northland,As at June 30 2007,634,
Total kiwifruit (hectares),Northland,As at June 30 2009,600,
Total kiwifruit (hectares),Northland,As at June 30 2011,510,
Total kiwifruit (hectares),Northland,As at June 30 2012,574,
Total kiwifruit (hectares),Northland,As at June 30 2014,447.2,
Total kiwifruit (hectares),Northland,As at June 30 2017,551,
Total kiwifruit (hectares),Northland,As at June 30 2019,598,
Total kiwifruit (hectares),Northland,As at June 30 2020,654,
Total avocados (hectares),Northland,As at June 30 1994,331,
Total avocados (hectares),Northland,As at June 30 2002,939,
Total avocados (hectares),Northland,As at June 30 2003,1013,
Total avocados (hectares),Northland,As at June 30 2005,1001,
Total avocados (hectares),Northland,As at June 30 2007,1325,
Total avocados (hectares),Northland,As at June 30 2009,1544,
Total avocados (hectares),Northland,As at June 30 2011,1496,
Total avocados (hectares),Northland,As at June 30 2012,1547,
Total avocados (hectares),Northland,As at June 30 2014,1450,
Total avocados (hectares),Northland,As at June 30 2017,1647,
Total avocados (hectares),Northland,As at June 30 2019,1821,
Total avocados (hectares),Northland,As at June 30 2020,2001,
Total wine grapes (hectares),Northland,As at June 30 1994,27,
Total wine grapes (hectares),Northland,As at June 30 2002,53,
Total wine grapes (hectares),Northland,As at June 30 2003,53,
Total wine grapes (hectares),Northland,As at June 30 2005,72,
Total wine grapes (hectares),Northland,As at June 30 2007,121,
Total wine grapes (hectares),Northland,As at June 30 2009,130,
Total wine grapes (hectares),Northland,As at June 30 2011,109,
Total wine grapes (hectares),Northland,As at June 30 2012,82,
Total wine grapes (hectares),Northland,As at June 30 2014,,s
Total wine grapes (hectares),Northland,As at June 30 2017,,s
Total wine grapes (hectares),Northland,As at June 30 2019,58,
Total wine grapes (hectares),Northland,As at June 30 2020,55,
Total olives (hectares),Northland,As at June 30 2002,146,
Total olives (hectares),Northland,As at June 30 2007,231,
Total olives (hectares),Northland,As at June 30 2009,265,
Total olives (hectares),Northland,As at June 30 2011,205,
Total olives (hectares),Northland,As at June 30 2012,201,
Total olives (hectares),Northland,As at June 30 2014,150,
Total olives (hectares),Northland,As at June 30 2017,118,
Total olives (hectares),Northland,As at June 30 2019,133,
Total olives (hectares),Northland,As at June 30 2020,138,
Total onions (hectares),Northland,As at June 30 1994,38,
Total onions (hectares),Northland,As at June 30 2011,5,
Total onions (hectares),Northland,As at June 30 2012,,c
Total onions (hectares),Northland,As at June 30 2014,,c
Total onions (hectares),Northland,As at June 30 2017,2,
Total onions (hectares),Northland,As at June 30 2019,2,
Total onions (hectares),Northland,As at June 30 2020,39,
Total potatoes (hectares),Northland,As at June 30 1994,102,
Total potatoes (hectares),Northland,As at June 30 2005,11,
Total potatoes (hectares),Northland,As at June 30 2007,31,
Total potatoes (hectares),Northland,As at June 30 2009,19,
Total potatoes (hectares),Northland,As at June 30 2012,22,
Total potatoes (hectares),Northland,As at June 30 2014,,c
Total potatoes (hectares),Northland,As at June 30 2017,8,
Total potatoes (hectares),Northland,As at June 30 2019,107,
Total potatoes (hectares),Northland,As at June 30 2020,83,
Total squash (hectares),Northland,As at June 30 1994,952,
Total squash (hectares),Northland,As at June 30 2002,104,
Total squash (hectares),Northland,As at June 30 2003,102,
Total squash (hectares),Northland,As at June 30 2007,25,
Total squash (hectares),Northland,As at June 30 2009,4,
Total squash (hectares),Northland,As at June 30 2011,5,
Total squash (hectares),Northland,As at June 30 2012,,c
Total squash (hectares),Northland,As at June 30 2014,,c
Total squash (hectares),Northland,As at June 30 2017,8,
Total squash (hectares),Northland,As at June 30 2019,9,
Total squash (hectares),Northland,As at June 30 2020,6,
Total apples (hectares),Auckland,As at June 30 1994,600,
Total apples (hectares),Auckland,As at June 30 2002,209,
Total apples (hectares),Auckland,As at June 30 2003,200,
Total apples (hectares),Auckland,As at June 30 2005,123,
Total apples (hectares),Auckland,As at June 30 2007,179,
Total apples (hectares),Auckland,As at June 30 2009,121,
Total apples (hectares),Auckland,As at June 30 2011,144,
Total apples (hectares),Auckland,As at June 30 2012,96,
Total apples (hectares),Auckland,As at June 30 2014,142,
Total apples (hectares),Auckland,As at June 30 2017,84,
Total apples (hectares),Auckland,As at June 30 2019,82,
Total apples (hectares),Auckland,As at June 30 2020,54,
Total kiwifruit (hectares),Auckland,As at June 30 1994,646,
Total kiwifruit (hectares),Auckland,As at June 30 2002,581,
Total kiwifruit (hectares),Auckland,As at June 30 2003,515,
Total kiwifruit (hectares),Auckland,As at June 30 2005,441,
Total kiwifruit (hectares),Auckland,As at June 30 2007,309,
Total kiwifruit (hectares),Auckland,As at June 30 2011,435,
Total kiwifruit (hectares),Auckland,As at June 30 2012,363,
Total kiwifruit (hectares),Auckland,As at June 30 2014,356.5,
Total kiwifruit (hectares),Auckland,As at June 30 2017,494,
Total kiwifruit (hectares),Auckland,As at June 30 2019,706,
Total kiwifruit (hectares),Auckland,As at June 30 2020,657,
Total avocados (hectares),Auckland,As at June 30 1994,68,
Total avocados (hectares),Auckland,As at June 30 2002,175,
Total avocados (hectares),Auckland,As at June 30 2003,138,
Total avocados (hectares),Auckland,As at June 30 2007,130,
Total avocados (hectares),Auckland,As at June 30 2009,90,
Total avocados (hectares),Auckland,As at June 30 2011,148,
Total avocados (hectares),Auckland,As at June 30 2012,148,
Total avocados (hectares),Auckland,As at June 30 2014,155,
Total avocados (hectares),Auckland,As at June 30 2017,281,
Total avocados (hectares),Auckland,As at June 30 2019,458,
Total avocados (hectares),Auckland,As at June 30 2020,433,
Total wine grapes (hectares),Auckland,As at June 30 1994,278,
Total wine grapes (hectares),Auckland,As at June 30 2002,718,
Total wine grapes (hectares),Auckland,As at June 30 2003,672,
Total wine grapes (hectares),Auckland,As at June 30 2005,603,
Total wine grapes (hectares),Auckland,As at June 30 2007,411,
Total wine grapes (hectares),Auckland,As at June 30 2009,392,
Total wine grapes (hectares),Auckland,As at June 30 2011,551,
Total wine grapes (hectares),Auckland,As at June 30 2012,300,
Total wine grapes (hectares),Auckland,As at June 30 2014,722,
Total wine grapes (hectares),Auckland,As at June 30 2017,836,
Total wine grapes (hectares),Auckland,As at June 30 2019,300,
Total wine grapes (hectares),Auckland,As at June 30 2020,225,
Total olives (hectares),Auckland,As at June 30 2002,276,
Total olives (hectares),Auckland,As at June 30 2003,290,
Total olives (hectares),Auckland,As at June 30 2005,270,
Total olives (hectares),Auckland,As at June 30 2007,290,
Total olives (hectares),Auckland,As at June 30 2009,227,
Total olives (hectares),Auckland,As at June 30 2011,244,
Total olives (hectares),Auckland,As at June 30 2012,250,
Total olives (hectares),Auckland,As at June 30 2014,187,
Total olives (hectares),Auckland,As at June 30 2017,128,
Total olives (hectares),Auckland,As at June 30 2019,162,
Total olives (hectares),Auckland,As at June 30 2020,130,
Total onions (hectares),Auckland,As at June 30 1994,1723,
Total onions (hectares),Auckland,As at June 30 2002,1621,
Total onions (hectares),Auckland,As at June 30 2003,1471,
Total onions (hectares),Auckland,As at June 30 2005,1388,
Total onions (hectares),Auckland,As at June 30 2007,1531,
Total onions (hectares),Auckland,As at June 30 2009,1818,
Total onions (hectares),Auckland,As at June 30 2011,1463,
Total onions (hectares),Auckland,As at June 30 2012,1621,
Total onions (hectares),Auckland,As at June 30 2014,1449,
Total onions (hectares),Auckland,As at June 30 2017,1919,
Total onions (hectares),Auckland,As at June 30 2019,1748,
Total onions (hectares),Auckland,As at June 30 2020,1712,
Total potatoes (hectares),Auckland,As at June 30 1994,1046,
Total potatoes (hectares),Auckland,As at June 30 2002,852,
Total potatoes (hectares),Auckland,As at June 30 2003,758,
Total potatoes (hectares),Auckland,As at June 30 2005,897,
Total potatoes (hectares),Auckland,As at June 30 2007,1316,
Total potatoes (hectares),Auckland,As at June 30 2009,1508,
Total potatoes (hectares),Auckland,As at June 30 2011,1049,
Total potatoes (hectares),Auckland,As at June 30 2012,1444,
Total potatoes (hectares),Auckland,As at June 30 2014,1185,
Total potatoes (hectares),Auckland,As at June 30 2017,2242,
Total potatoes (hectares),Auckland,As at June 30 2019,1483,
Total potatoes (hectares),Auckland,As at June 30 2020,1937,
Total squash (hectares),Auckland,As at June 30 1994,781,
Total squash (hectares),Auckland,As at June 30 2003,328,
Total squash (hectares),Auckland,As at June 30 2007,251,
Total squash (hectares),Auckland,As at June 30 2012,,c
Total squash (hectares),Auckland,As at June 30 2014,,c
Total squash (hectares),Auckland,As at June 30 2017,300,
Total squash (hectares),Auckland,As at June 30 2019,113,
Total squash (hectares),Auckland,As at June 30 2020,19,
Total apples (hectares),Waikato,As at June 30 1994,679,
Total apples (hectares),Waikato,As at June 30 2002,335,
Total apples (hectares),Waikato,As at June 30 2003,276,
Total apples (hectares),Waikato,As at June 30 2005,343,
Total apples (hectares),Waikato,As at June 30 2007,228,
Total apples (hectares),Waikato,As at June 30 2009,223,
Total apples (hectares),Waikato,As at June 30 2011,162,
Total apples (hectares),Waikato,As at June 30 2012,141,
Total apples (hectares),Waikato,As at June 30 2014,135,
Total apples (hectares),Waikato,As at June 30 2017,144,
Total apples (hectares),Waikato,As at June 30 2019,110,
Total apples (hectares),Waikato,As at June 30 2020,83,
Total kiwifruit (hectares),Waikato,As at June 30 1994,783,
Total kiwifruit (hectares),Waikato,As at June 30 2002,818,
Total kiwifruit (hectares),Waikato,As at June 30 2003,787,
Total kiwifruit (hectares),Waikato,As at June 30 2005,614,
Total kiwifruit (hectares),Waikato,As at June 30 2007,753,
Total kiwifruit (hectares),Waikato,As at June 30 2009,786,
Total kiwifruit (hectares),Waikato,As at June 30 2011,659,
Total kiwifruit (hectares),Waikato,As at June 30 2012,726,
Total kiwifruit (hectares),Waikato,As at June 30 2014,479,
Total kiwifruit (hectares),Waikato,As at June 30 2017,412,
Total kiwifruit (hectares),Waikato,As at June 30 2019,616,
Total kiwifruit (hectares),Waikato,As at June 30 2020,771,
Total avocados (hectares),Waikato,As at June 30 1994,36,
Total avocados (hectares),Waikato,As at June 30 2002,167,
Total avocados (hectares),Waikato,As at June 30 2003,111,
Total avocados (hectares),Waikato,As at June 30 2007,144,
Total avocados (hectares),Waikato,As at June 30 2012,176,
Total avocados (hectares),Waikato,As at June 30 2014,122,
Total avocados (hectares),Waikato,As at June 30 2017,101,
Total avocados (hectares),Waikato,As at June 30 2019,75,
Total avocados (hectares),Waikato,As at June 30 2020,101,
Total wine grapes (hectares),Waikato,As at June 30 1994,131,
Total wine grapes (hectares),Waikato,As at June 30 2002,218,
Total wine grapes (hectares),Waikato,As at June 30 2003,164,
Total wine grapes (hectares),Waikato,As at June 30 2005,153,
Total wine grapes (hectares),Waikato,As at June 30 2007,133,
Total wine grapes (hectares),Waikato,As at June 30 2009,46,
Total wine grapes (hectares),Waikato,As at June 30 2011,31,
Total wine grapes (hectares),Waikato,As at June 30 2012,26,
Total wine grapes (hectares),Waikato,As at June 30 2014,,s
Total wine grapes (hectares),Waikato,As at June 30 2017,15,
Total wine grapes (hectares),Waikato,As at June 30 2019,,s
Total wine grapes (hectares),Waikato,As at June 30 2020,20,
Total olives (hectares),Waikato,As at June 30 2002,107,
Total olives (hectares),Waikato,As at June 30 2007,79,
Total olives (hectares),Waikato,As at June 30 2009,42,
Total olives (hectares),Waikato,As at June 30 2011,59,
Total olives (hectares),Waikato,As at June 30 2012,55,
Total olives (hectares),Waikato,As at June 30 2014,49,
Total olives (hectares),Waikato,As at June 30 2017,34,
Total olives (hectares),Waikato,As at June 30 2019,,s
Total olives (hectares),Waikato,As at June 30 2020,27,
Total onions (hectares),Waikato,As at June 30 1994,1817,
Total onions (hectares),Waikato,As at June 30 2002,2103,
Total onions (hectares),Waikato,As at June 30 2003,1927,
Total onions (hectares),Waikato,As at June 30 2005,1574,
Total onions (hectares),Waikato,As at June 30 2007,1477,
Total onions (hectares),Waikato,As at June 30 2009,1265,
Total onions (hectares),Waikato,As at June 30 2011,1687,
Total onions (hectares),Waikato,As at June 30 2012,1837,
Total onions (hectares),Waikato,As at June 30 2014,1605,
Total onions (hectares),Waikato,As at June 30 2017,1733,
Total onions (hectares),Waikato,As at June 30 2019,1518,
Total onions (hectares),Waikato,As at June 30 2020,1530,
Total potatoes (hectares),Waikato,As at June 30 1994,1827,
Total potatoes (hectares),Waikato,As at June 30 2002,2117,
Total potatoes (hectares),Waikato,As at June 30 2003,2164,
Total potatoes (hectares),Waikato,As at June 30 2005,2267,
Total potatoes (hectares),Waikato,As at June 30 2007,2022,
Total potatoes (hectares),Waikato,As at June 30 2009,2092,
Total potatoes (hectares),Waikato,As at June 30 2011,2226,
Total potatoes (hectares),Waikato,As at June 30 2012,2074,
Total potatoes (hectares),Waikato,As at June 30 2014,1758,
Total potatoes (hectares),Waikato,As at June 30 2017,1280,
Total potatoes (hectares),Waikato,As at June 30 2019,1688,
Total potatoes (hectares),Waikato,As at June 30 2020,1421,
Total squash (hectares),Waikato,As at June 30 1994,926,
Total squash (hectares),Waikato,As at June 30 2011,121,
Total squash (hectares),Waikato,As at June 30 2012,,c
Total squash (hectares),Waikato,As at June 30 2014,504,
Total squash (hectares),Waikato,As at June 30 2017,84,
Total squash (hectares),Waikato,As at June 30 2019,6,
Total squash (hectares),Waikato,As at June 30 2020,12,
Total apples (hectares),Bay of Plenty,As at June 30 1994,132,
Total apples (hectares),Bay of Plenty,As at June 30 2002,137,
Total apples (hectares),Bay of Plenty,As at June 30 2007,8,
Total apples (hectares),Bay of Plenty,As at June 30 2011,9,
Total apples (hectares),Bay of Plenty,As at June 30 2012,5,
Total apples (hectares),Bay of Plenty,As at June 30 2014,13,
Total apples (hectares),Bay of Plenty,As at June 30 2017,67,
Total apples (hectares),Bay of Plenty,As at June 30 2019,50,
Total apples (hectares),Bay of Plenty,As at June 30 2020,79,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 1994,8101,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2002,8488,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2003,8979,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2005,9100,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2007,10108,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2009,10216,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2011,10229,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2012,9912,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2014,8456.3,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2017,9227,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2019,11791,
Total kiwifruit (hectares),Bay of Plenty,As at June 30 2020,12091,
Total avocados (hectares),Bay of Plenty,As at June 30 1994,774,
Total avocados (hectares),Bay of Plenty,As at June 30 2002,1608,
Total avocados (hectares),Bay of Plenty,As at June 30 2003,1802,
Total avocados (hectares),Bay of Plenty,As at June 30 2005,1900,
Total avocados (hectares),Bay of Plenty,As at June 30 2007,2210,
Total avocados (hectares),Bay of Plenty,As at June 30 2009,2156,
Total avocados (hectares),Bay of Plenty,As at June 30 2011,1925,
Total avocados (hectares),Bay of Plenty,As at June 30 2012,2081,
Total avocados (hectares),Bay of Plenty,As at June 30 2014,1958,
Total avocados (hectares),Bay of Plenty,As at June 30 2017,1834,
Total avocados (hectares),Bay of Plenty,As at June 30 2019,1948,
Total avocados (hectares),Bay of Plenty,As at June 30 2020,2197,
Total wine grapes (hectares),Bay of Plenty,As at June 30 1994,22,
Total wine grapes (hectares),Bay of Plenty,As at June 30 2002,10,
Total wine grapes (hectares),Bay of Plenty,As at June 30 2007,25,
Total wine grapes (hectares),Bay of Plenty,As at June 30 2012,,c
Total wine grapes (hectares),Bay of Plenty,As at June 30 2014,,c
Total wine grapes (hectares),Bay of Plenty,As at June 30 2017,75,
