field_1,measure_ab,measure,units,sof,nzsegment,lat,long,s_id,n_obs,s,var_s,d,tau,z,p,c,cd,prop_censored,prop_unique,no_censorlevels,median,annual_sen_slope,sen_lci,sen_uci,analysis_note,percent_annual_change,trend_direction,seasonal,freq,period,end_year,trend_confidence
11,ECOLI,E. coli,cfu/100ml,WXL,5063036,-37.6746,178.3481,GDC-00002,55,16,584.6666667,226,0.07079646,0.620350436,0.535027096,0.732486452,0.267513548,0,0.519230769,0,77,1.894582778,-3.504874262,5.041212133,ok,2.460497114,Worsening,TRUE,BiMonth,NA,2001,Likely worsening
12,ECOLI,E. coli,cfu/100ml,WWL,5100657,-38.2039,178.2558,GDC-00003,55,-11,586.3333333,226,-0.048672566,-0.412978752,0.679622181,0.660188909,0.660188909,0,0.611650485,0,231,-1.667881666,-19.31022409,6.626212485,ok,-0.722026695,Improving,TRUE,BiMonth,NA,2001,Likely improving
13,ECOLI,E. coli,cfu/100ml,WWL,5108000,-38.2923,178.2692,GDC-00004,55,-11,586.3333333,226,-0.048672566,-0.412978752,0.679622181,0.660188909,0.660188909,0,0.611650485,0,297,-2.09458221,-24.88087136,8.893136536,ok,-0.705246535,Improving,TRUE,BiMonth,NA,2001,Likely improving
14,ECOLI,E. coli,cfu/100ml,CWH,5113578,-38.3786,177.7931,GDC-00010,55,-1,588.3333333,226,-0.004424779,0,1,0.5,0.5,0,0.673267327,0,341,0,-13.68568897,15.28919728,WARNING: Sen slope based on tied non-censored values,0,Indeterminate,TRUE,BiMonth,NA,2001,Indeterminate
15,ECOLI,E. coli,cfu/100ml,WDL,5137336,-38.6342,177.9682,GDC-00016,55,-176,18956,1485,-0.118518519,-1.27105604,0.203708713,0.898145644,0.898145644,0,0.650943396,0,462,-25.8885989,-69.20142775,6.01261814,ok,-5.603592836,Improving,FALSE,BiMonth,NA,2001,Likely improving
16,ECOLI,E. coli,cfu/100ml,WDL,5140104,-38.6683,178.0199,GDC-00020,55,91,18953.66667,1485,0.061279461,0.653726199,0.513288221,0.743355889,0.256644111,0,0.594594595,0,219,6.007401316,-8.925483778,34.77167848,ok,2.743105624,Worsening,FALSE,BiMonth,NA,2001,Likely worsening
17,ECOLI,E. coli,cfu/100ml,CWH,5118497,-38.4268,177.7224,GDC-00021,55,-11,588.3333333,226,-0.048672566,-0.412276208,0.680136985,0.659931507,0.659931507,0,0.650485437,0,230,-4.565456458,-23.44371227,8.997663027,ok,-1.984981069,Indeterminate,TRUE,BiMonth,NA,2001,Indeterminate
18,ECOLI,E. coli,cfu/100ml,WWL,5113284,-38.3591,177.9335,GDC-00024,55,8,18964,1485,0.005387205,0.050831517,0.959459777,0.520270112,0.479729888,0,0.669902913,0,260,0,-18.78392934,19.61363933,WARNING: Sen slope based on tied non-censored values,0,Indeterminate,FALSE,BiMonth,NA,2001,Indeterminate
19,ECOLI,E. coli,cfu/100ml,WWL,5122005,-38.4616,177.8767,GDC-00027,57,-198,21082.66667,1596,-0.12406015,-1.356761324,0.17485706,0.91257147,0.91257147,0,0.59047619,0,441,-22.32358933,-54.11196536,3.51941592,ok,-5.062038397,Improving,FALSE,BiMonth,NA,2001,Very likely improving
20,ECOLI,E. coli,cfu/100ml,CWH,5128596,-38.5468,177.6596,GDC-00030,55,40,589.3333333,226,0.17699115,1.606512481,0.108161355,0.945919323,0.054080677,0,0.712871287,0,345,19.92021005,0,41.16856093,ok,5.773973927,Worsening,TRUE,BiMonth,NA,2001,Very likely worsening
21,ECOLI,E. coli,cfu/100ml,WWL,5141084,-38.6782,178.08,GDC-00032,54,108,17896,1431,0.075471698,0.799844922,0.423800652,0.788099674,0.211900326,0,0.5,0,327,9.722051597,-10.78420657,36.75670737,ok,2.973104464,Worsening,FALSE,BiMonth,NA,2001,Likely worsening
22,ECOLI,E. coli,cfu/100ml,NANA,5170003,-38.6685,178.0286,GDC-00033,56,22,614,234,0.094017094,0.847491028,0.396721486,0.801639257,0.198360743,0,0.516528926,0,323.5,16.55666209,-14.87370917,52.20940445,ok,5.117979007,Worsening,TRUE,BiMonth,NA,2001,Likely worsening
23,ECOLI,E. coli,cfu/100ml,CWH,5087073,-38.0475,178.1234,LAWA-100348,54,-22,562.6666667,218,-0.100917431,-0.885306598,0.375991292,0.812004354,0.812004354,0,0.67,0,301.5,-16.90174757,-46.58070268,8.246411651,ok,-5.605886423,Improving,TRUE,BiMonth,NA,2001,Likely improving
24,ECOLI,E. coli,cfu/100ml,WWL,4085815,-38.0795,177.1362,EBOP-00011,36,20,368,144,0.138888889,0.990443467,0.321957409,0.839021296,0.160978704,0,0.761904762,0,595,18.40005263,-18.7726245,78.55513982,ok,3.09244582,Worsening,TRUE,Qtr,NA,2001,Likely worsening
25,ECOLI,E. coli,cfu/100ml,CWLk,4081484,-38.044,176.3308,EBOP-00012,38,42,427.3333333,163,0.257668712,1.983355074,0.047327782,0.976336109,0.023663891,0,0.360465116,0,5,0.503561581,0,1.396202453,ok,10.07123162,Worsening,TRUE,Qtr,NA,2001,Very likely worsening
26,ECOLI,E. coli,cfu/100ml,CWH,4090417,-38.1564,176.2638,EBOP-00019,36,6,373.3333333,145,0.04137931,0.258774585,0.795809169,0.602095416,0.397904584,0,0.725274725,0,110,0.99185336,-12.96742067,9.027510655,ok,0.901684873,Indeterminate,TRUE,Qtr,NA,2001,Indeterminate
27,ECOLI,E. coli,cfu/100ml,CWH,4083343,-38.0465,176.988,EBOP-00042,38,48,432,162,0.296296296,2.261288554,0.023741395,0.988129303,0.011870697,0,0.692307692,0,73,9.333763255,1.57281128,13.58059965,ok,12.78597706,Worsening,TRUE,Qtr,NA,2001,Very likely worsening
28,ECOLI,E. coli,cfu/100ml,WXL,5063036,-37.6746,178.3481,GDC-00002,112,30,1228,469,0.063965885,0.827558711,0.407920459,0.79603977,0.20396023,0,0.5,0,80.5,1.655711695,-1.338077224,4.391819015,ok,2.056784715,Worsening,TRUE,Month,NA,2002,Likely worsening
29,ECOLI,E. coli,cfu/100ml,WWL,5100657,-38.2039,178.2558,GDC-00003,109,55,1149,444,0.123873874,1.593065914,0.111145405,0.944427298,0.055572702,0,0.594594595,0,231,8.258503162,0,14.70738559,ok,3.575109594,Worsening,TRUE,Month,NA,2002,Very likely worsening
30,ECOLI,E. coli,cfu/100ml,WWL,5108000,-38.2923,178.2692,GDC-00004,109,55,1149,444,0.123873874,1.593065914,0.111145405,0.944427298,0.055572702,0,0.594594595,0,297,10.63616538,0,18.92383118,ok,3.581200464,Worsening,TRUE,Month,NA,2002,Very likely worsening
31,ECOLI,E. coli,cfu/100ml,WDL,5137336,-38.6342,177.9682,GDC-00016,112,-537,158075,6216,-0.086389961,-1.348134412,0.177615155,0.911192422,0.911192422,0,0.640350877,0,434,-18.93505815,-47.56603851,3.726485563,ok,-4.362916624,Improving,FALSE,Month,NA,2002,Very likely improving
32,ECOLI,E. coli,cfu/100ml,WDL,5140104,-38.6683,178.0199,GDC-00020,113,298,162319.3333,6328,0.047092288,0.737176232,0.461015185,0.769492407,0.230507593,0,0.613445378,0,219,4.388227992,-6.525015086,20.06732994,ok,2.003757074,Worsening,FALSE,Month,NA,2002,Likely worsening
33,ECOLI,E. coli,cfu/100ml,CWH,5118497,-38.4268,177.7224,GDC-00021,109,248,145745.3333,5886,0.042133877,0.646993063,0.517636433,0.741181783,0.258818217,0,0.612612613,0,209,3.578639813,-5.767105263,12.16303934,ok,1.712267853,Worsening,FALSE,Month,NA,2002,Likely worsening
34,ECOLI,E. coli,cfu/100ml,WWL,5113284,-38.3591,177.9335,GDC-00024,109,537,145767,5886,0.091233435,1.403896793,0.160349585,0.919825208,0.080174792,0,0.657657658,0,238,9.560723153,-1.711754348,20.53251602,ok,4.017110569,Worsening,FALSE,Month,NA,2002,Very likely worsening
35,ECOLI,E. coli,cfu/100ml,WWL,5122005,-38.4616,177.8767,GDC-00027,109,-359,145741,5886,-0.060992185,-0.937760972,0.348367262,0.825816369,0.825816369,0,0.558558559,0,430,-10.52231114,-31.19338955,6.866897012,ok,-2.447049102,Improving,FALSE,Month,NA,2002,Likely improving
36,ECOLI,E. coli,cfu/100ml,WWL,5141084,-38.6782,178.08,GDC-00032,110,1056,149576,5995,0.176146789,2.727856386,0.006374736,0.996812632,0.003187368,0,0.516393443,0,327,27.61018578,8.904709091,49.53278111,ok,8.443481889,Worsening,FALSE,Month,NA,2002,Very likely worsening
37,ECOLI,E. coli,cfu/100ml,NANA,5170003,-38.6685,178.0286,GDC-00033,114,43,1306.333333,487,0.088295688,1.162043233,0.245217904,0.877391048,0.122608952,0,0.498207885,0,309,9.552305575,-3.006727007,36.40113742,ok,3.091361027,Worsening,TRUE,Month,NA,2002,Likely worsening
38,ECOLI,E. coli,cfu/100ml,CWH,4084132,-38.0824,176.2122,EBOP-00010,56,232,20004,1540,0.150649351,1.633253347,0.102415724,0.948792138,0.051207862,0,0.673267327,0,260,20.15357044,0,42.17392509,ok,7.751373245,Worsening,FALSE,BiMonth,NA,2002,Very likely worsening
39,ECOLI,E. coli,cfu/100ml,CWH,4090417,-38.1564,176.2638,EBOP-00019,56,128,20007.33333,1540,0.083116883,0.897861019,0.369259649,0.815370176,0.184629824,0,0.656862745,0,120,4.973781864,-4.386507441,14.53707297,ok,4.14481822,Worsening,FALSE,BiMonth,NA,2002,Likely worsening
40,ECOLI,E. coli,cfu/100ml,CWH,5113578,-38.3786,177.7931,GDC-00010,59,-25,715,261,-0.095785441,-0.89754911,0.36942598,0.81528701,0.81528701,0,0.660550459,0,311,-7.53910918,-18.00708372,6.483172021,ok,-2.424150862,Improving,TRUE,BiMonth,NA,2002,Likely improving
41,ECOLI,E. coli,cfu/100ml,WWL,5146495,-38.7595,177.8177,GDC-00017,59,1,712.3333333,261,0.003831418,0,1,0.5,0.5,0,0.657407407,0,302,0,-24.28485337,19.25739652,WARNING: Sen slope based on tied non-censored values,0,Indeterminate,TRUE,BiMonth,NA,2002,Indeterminate
42,ECOLI,E. coli,cfu/100ml,WWL,5126986,-38.5142,178.0403,GDC-00023,56,-188,20002,1540,-0.122077922,-1.322223571,0.186093714,0.906953143,0.906953143,0,0.6,0,269,-14.31443717,-33.81436965,2.410467962,ok,-5.321352106,Improving,FALSE,BiMonth,NA,2002,Very likely improving
43,ECOLI,E. coli,cfu/100ml,WWL,5138266,-38.6537,177.9177,GDC-00028,56,-13,615,234,-0.055555556,-0.483886703,0.628466278,0.685766861,0.685766861,0,0.586538462,0,289,-10.47882761,-47.9676194,10.75998439,ok,-3.625891907,Improving,TRUE,BiMonth,NA,2002,Likely improving
44,ECOLI,E. coli,cfu/100ml,CWH,5128596,-38.5468,177.6596,GDC-00030,59,56,716,261,0.214559387,2.055446505,0.039835898,0.980082051,0.019917949,0,0.685185185,0,354,25.92096774,4.358551913,41.61643543,ok,7.322307272,Worsening,TRUE,BiMonth,NA,2002,Very likely worsening
45,ECOLI,E. coli,cfu/100ml,CWH,5087073,-38.0475,178.1234,LAWA-100348,58,16,682,252,0.063492063,0.574379686,0.565710896,0.717144552,0.282855448,0,0.62962963,0,301.5,7.583341813,-17.61881518,21.34039579,ok,2.515204581,Worsening,TRUE,BiMonth,NA,2002,Likely worsening
46,ECOLI,E. coli,cfu/100ml,CWLk,4081484,-38.044,176.3308,EBOP-00012,38,41,431,163,0.251533742,1.926732203,0.054013012,0.972993494,0.027006506,0,0.361702128,0,6,0.680167598,0,2.348669686,ok,11.33612663,Worsening,TRUE,Qtr,NA,2002,Very likely worsening
47,ECOLI,E. coli,cfu/100ml,CWLk,4085079,-38.0803,176.7124,EBOP-00024,36,-1,372.3333333,145,-0.006896552,0,1,0.5,0.5,0,0.682539683,0,83,0,-7.721461283,6.131362059,WARNING: Sen slope based on tied non-censored values,0,Indeterminate,TRUE,Qtr,NA,2002,Indeterminate
48,ECOLI,E. coli,cfu/100ml,CWH,4083343,-38.0465,176.988,EBOP-00042,38,36,432,162,0.222222222,1.683938285,0.092193596,0.953903202,0.046096798,0,0.627659574,0,95,8.132113888,0,15.12133839,ok,8.560119883,Worsening,TRUE,Qtr,NA,2002,Very likely worsening
49,ECOLI,E. coli,cfu/100ml,WXL,5063036,-37.6746,178.3481,GDC-00002,113,6,1262,478,0.012552301,0.140747382,0.888069512,0.555965244,0.444034756,0,0.495575221,0,84,0,-3.578933757,3.313265693,WARNING: Sen slope based on tied non-censored values,0,Indeterminate,TRUE,Month,NA,2003,Indeterminate
50,ECOLI,E. coli,cfu/100ml,WWL,5100657,-38.2039,178.2558,GDC-00003,110,61,1170.333333,451,0.135254989,1.753866218,0.079453433,0.960273283,0.039726717,0,0.580357143,0,231,10.39573071,0,18.31880373,ok,4.500316323,Worsening,TRUE,Month,NA,2003,Very likely worsening
51,ECOLI,E. coli,cfu/100ml,WWL,5108000,-38.2923,178.2692,GDC-00004,110,61,1170.333333,451,0.135254989,1.753866218,0.079453433,0.960273283,0.039726717,0,0.580357143,0,297,13.40628661,0,23.42844813,ok,4.513901214,Worsening,TRUE,Month,NA,2003,Very likely worsening
52,ECOLI,E. coli,cfu/100ml,CWH,5113578,-38.3786,177.7931,GDC-00010,112,10,1246.666667,470,0.021276596,0.254898533,0.798801469,0.600599265,0.399400735,0,0.675438596,0,315,3.212912088,-7.747020565,12.25853276,ok,1.019972091,Indeterminate,TRUE,Month,NA,2003,Indeterminate
53,ECOLI,E. coli,cfu/100ml,WDL,5137336,-38.6342,177.9682,GDC-00016,117,-440,180110.6667,6786,-0.064839375,-1.034414985,0.300942202,0.849528899,0.849528899,0,0.621848739,0,415,-11.47171147,-36.92674941,6.524613997,ok,-2.764267824,Improving,FALSE,Month,NA,2003,Likely improving
54,ECOLI,E. coli,cfu/100ml,WWL,5146495,-38.7595,177.8177,GDC-00017,112,74,1237.333333,469,0.157782516,2.075293394,0.037959351,0.981020324,0.018979676,0,0.654867257,0,343,22.28010626,4.156835532,38.3316566,ok,6.495657801,Worsening,TRUE,Month,NA,2003,Very likely worsening
55,ECOLI,E. coli,cfu/100ml,WDL,5140104,-38.6683,178.0199,GDC-00020,118,243,184749,6903,0.035202086,0.563020642,0.573420828,0.713289586,0.286710414,0,0.620967742,0,234,3.450687088,-8.731044427,18.62134252,ok,1.474652602,Worsening,FALSE,Month,NA,2003,Likely worsening
56,ECOLI,E. coli,cfu/100ml,CWH,5118497,-38.4268,177.7224,GDC-00021,114,468,166650.6667,6441,0.072659525,1.143966622,0.25263748,0.87368126,0.12631874,0,0.608695652,0,244,6.707429048,-2.930454542,15.6262842,ok,2.748946331,Worsening,FALSE,Month,NA,2003,Likely worsening
57,ECOLI,E. coli,cfu/100ml,WWL,5126986,-38.5142,178.0403,GDC-00023,114,391,166631,6441,0.060704859,0.955403233,0.33937382,0.83031309,0.16968691,0,0.617391304,0,278,7.047105911,-4.354309963,20.92194602,ok,2.534930184,Worsening,FALSE,Month,NA,2003,Likely worsening
58,ECOLI,E. coli,cfu/100ml,WWL,5113284,-38.3591,177.9335,GDC-00024,115,440,171064,6555,0.067124333,1.061414971,0.288501356,0.855749322,0.144250678,0,0.637931034,0,227.5,6.078690304,-3.316370822,17.21515138,ok,2.671951782,Worsening,FALSE,Month,NA,2003,Likely worsening
59,ECOLI,E. coli,cfu/100ml,WWL,5122005,-38.4616,177.8767,GDC-00027,115,171,171055,6555,0.026086957,0.411037111,0.681045323,0.659477339,0.340522661,0,0.603448276,0,435.5,3.981912785,-13.54910753,23.91517857,ok,0.914331294,Indeterminate,FALSE,Month,NA,2003,Indeterminate
60,ECOLI,E. coli,cfu/100ml,WWL,5138266,-38.6537,177.9177,GDC-00028,113,528,162335.3333,6328,0.083438685,1.307988985,0.190877045,0.904561477,0.095438523,0,0.596491228,0,330,11.62849174,-2.635913129,28.31004457,ok,3.523785376,Worsening,FALSE,Month,NA,2003,Very likely worsening
61,ECOLI,E. coli,cfu/100ml,CWH,5128596,-38.5468,177.6596,GDC-00030,112,1112,158106,6216,0.178893179,2.794086733,0.005204652,0.997397674,0.002602326,0,0.699115044,0,388,27.26391521,13.00018035,45.71425568,ok,7.026782271,Worsening,FALSE,Month,NA,2003,Very likely worsening
62,ECOLI,E. coli,cfu/100ml,WWL,5141084,-38.6782,178.08,GDC-00032,111,1109,153643,6105,0.181654382,2.826723771,0.004702687,0.997648656,0.002351344,0,0.549618321,0,327,30.99496337,10.717746,53.64128997,ok,9.47858207,Worsening,FALSE,Month,NA,2003,Very likely worsening
63,ECOLI,E. coli,cfu/100ml,NANA,5170003,-38.6685,178.0286,GDC-00033,119,33,1465,531,0.062146893,0.836047911,0.40312795,0.798436025,0.201563975,0,0.493464052,0,304.5,6.314604186,-8.243465388,25.94920163,ok,2.073761637,Worsening,TRUE,Month,NA,2003,Likely worsening
64,ECOLI,E. coli,cfu/100ml,CWH,5087073,-38.0475,178.1234,LAWA-100348,108,287,141785,5778,0.049671166,0.759540418,0.447529345,0.776235327,0.223764673,0,0.614678899,0,286,6.446459395,-7.951587259,20.78478828,ok,2.254006782,Worsening,FALSE,Month,NA,2003,Likely worsening
65,ECOLI,E. coli,cfu/100ml,CWH,4084132,-38.0824,176.2122,EBOP-00010,56,72,20005.33333,1540,0.046753247,0.501978889,0.615682371,0.692158814,0.307841186,0,0.640776699,0,290,7.120302001,-15.73412051,29.10626277,ok,2.455276552,Worsening,FALSE,BiMonth,NA,2003,Likely worsening
66,ECOLI,E. coli,cfu/100ml,CWLk,4081484,-38.044,176.3308,EBOP-00012,55,45,583.6666667,226,0.199115044,1.821252793,0.068568439,0.965715781,0.034284219,0,0.37254902,0,6.5,0.751960303,0,1.897402597,ok,11.56862004,Worsening,TRUE,BiMonth,NA,2003,Very likely worsening
67,ECOLI,E. coli,cfu/100ml,CWH,4090417,-38.1564,176.2638,EBOP-00019,56,-19,20005.66667,1540,-0.012337662,-0.127261193,0.898733674,0.550633163,0.550633163,0,0.60952381,0,130,-1.273461565,-12.91110032,10.38630882,ok,-0.979585819,Indeterminate,FALSE,BiMonth,NA,2003,Indeterminate
68,ECOLI,E. coli,cfu/100ml,CWH,4083343,-38.0465,176.988,EBOP-00042,54,17,552.3333333,217,0.078341014,0.6807997,0.49599824,0.75200088,0.24799912,0,0.618556701,0,100,1.988656987,-3.477644494,6.099228636,ok,1.988656987,Worsening,TRUE,BiMonth,NA,2003,Likely worsening
69,ECOLI,E. coli,cfu/100ml,CWLk,4085079,-38.0803,176.7124,EBOP-00024,37,-44,5837.333333,666,-0.066066066,-0.562809227,0.573564797,0.713217602,0.713217602,0,0.690140845,0,81,-2.408892908,-9.109836212,4.283192562,ok,-2.973941861,Improving,FALSE,Qtr,NA,2003,Likely improving
70,ECOLI,E. coli,cfu/100ml,CWH,4084132,-38.0824,176.2122,EBOP-00010,111,681,153880.3333,6105,0.111547912,1.733474085,0.08301144,0.95849428,0.04150572,0,0.603603604,0,290,11.42298671,0,24.2722824,ok,3.938960934,Worsening,FALSE,Month,NA,2004,Very likely worsening
71,ECOLI,E. coli,cfu/100ml,CWLk,4081484,-38.044,176.3308,EBOP-00012,111,141,1193.666667,461,0.305856833,4.052159229,5.07E-05,0.999974626,2.54E-05,0,0.387387387,0,8,1.476752022,0.745408163,2.025633716,ok,18.45940027,Worsening,TRUE,Month,NA,2004,Very likely worsening
72,ECOLI,E. coli,cfu/100ml,CWH,4090417,-38.1564,176.2638,EBOP-00019,112,187,158059.6667,6216,0.030083655,0.467845453,0.639895113,0.680052443,0.319947557,0,0.601769912,0,130,1.815841522,-5.27905312,8.40994634,ok,1.396801171,Worsening,FALSE,Month,NA,2004,Likely worsening
73,ECOLI,E. coli,cfu/100ml,WXL,5063036,-37.6746,178.3481,GDC-00002,108,8,1128,438,0.01826484,0.208421967,0.834899506,0.582550247,0.417449753,0,0.5,0,77,0,-4.085919252,3.063041191,WARNING: Sen slope based on tied non-censored values,0,Indeterminate,TRUE,Month,NA,2004,Indeterminate
74,ECOLI,E. coli,cfu/100ml,CWH,5113578,-38.3786,177.7931,GDC-00010,115,9,1336.333333,496,0.018145161,0.218842963,0.826772378,0.586613811,0.413386189,0,0.675213675,0,319,1.374126386,-10.93199373,11.65903939,ok,0.430760623,Indeterminate,TRUE,Month,NA,2004,Indeterminate
75,ECOLI,E. coli,cfu/100ml,WDL,5137336,-38.6342,177.9682,GDC-00016,117,-464,180135.3333,6786,-0.068376068,-1.090891448,0.27532065,0.862339675,0.862339675,0,0.655462185,0,379,-11.70993919,-34.71796061,6.522321429,ok,-3.089693718,Improving,FALSE,Month,NA,2004,Likely improving
76,ECOLI,E. coli,cfu/100ml,WWL,5146495,-38.7595,177.8177,GDC-00017,115,70,1335.333333,496,0.141129032,1.888227184,0.058995458,0.970502271,0.029497729,0,0.637931034,0,343,18.15264127,1.994327066,30.00470626,ok,5.292315239,Worsening,TRUE,Month,NA,2004,Very likely worsening
77,ECOLI,E. coli,cfu/100ml,WDL,5140104,-38.6683,178.0199,GDC-00020,118,-212,184760,6903,-0.030711285,-0.49088355,0.623508813,0.688245594,0.688245594,0,0.620967742,0,319,-3.220899471,-24.55495318,8.972943627,ok,-1.009686355,Improving,FALSE,Month,NA,2004,Likely improving
78,ECOLI,E. coli,cfu/100ml,CWH,5118497,-38.4268,177.7224,GDC-00021,117,33,1395,513,0.064327485,0.856767284,0.39157351,0.804213245,0.195786755,0,0.593220339,0,247.5,4.251801552,-5.441244155,12.74772568,ok,1.717899617,Worsening,TRUE,Month,NA,2004,Likely worsening
79,ECOLI,E. coli,cfu/100ml,WWL,5126986,-38.5142,178.0403,GDC-00023,117,-70,180068,6786,-0.010315355,-0.162603849,0.870830357,0.564584822,0.564584822,0,0.610169492,0,278,0,-13.20513378,12.27075552,WARNING: Sen slope based on tied non-censored values,0,Indeterminate,FALSE,Month,NA,2004,Indeterminate
80,ECOLI,E. coli,cfu/100ml,WWL,5113284,-38.3591,177.9335,GDC-00024,118,99,184753.6667,6903,0.014341591,0.227997215,0.819648405,0.590175797,0.409824203,0,0.630252101,0,224,1.097317597,-8.602748013,11.45384501,ok,0.489873927,Indeterminate,FALSE,Month,NA,2004,Indeterminate
81,ECOLI,E. coli,cfu/100ml,WWL,5122005,-38.4616,177.8767,GDC-00027,118,-326,184746.6667,6903,-0.047225844,-0.756127538,0.449572733,0.775213634,0.775213634,0,0.613445378,0,419,-8.440651261,-24.80044895,8.068721535,ok,-2.014475241,Improving,FALSE,Month,NA,2004,Likely improving
82,ECOLI,E. coli,cfu/100ml,WWL,5138266,-38.6537,177.9177,GDC-00028,116,175,175542.3333,6670,0.026236882,0.415296542,0.677924832,0.661037584,0.338962416,0,0.572649573,0,289,2.954156909,-10.20575271,15.78204024,ok,1.022199622,Indeterminate,FALSE,Month,NA,2004,Indeterminate
83,ECOLI,E. coli,cfu/100ml,CWH,5128596,-38.5468,177.6596,GDC-00030,114,81,1311.666667,488,0.165983607,2.208911143,0.027180822,0.986409589,0.013590411,0,0.704347826,0,397,25.73239918,6.579415195,41.83433366,ok,6.48171264,Worsening,TRUE,Month,NA,2004,Very likely worsening
84,ECOLI,E. coli,cfu/100ml,NANA,5170003,-38.6685,178.0286,GDC-00033,120,-42,1498,540,-0.077777778,-1.059321898,0.289453205,0.855273397,0.855273397,0,0.514195584,0,319,-11.84683752,-33.87708067,5.270001721,ok,-3.71374217,Improving,TRUE,Month,NA,2004,Likely improving
85,ECOLI,E. coli,cfu/100ml,CWH,4083343,-38.0465,176.988,EBOP-00042,56,31,611,234,0.132478632,1.213670091,0.22487373,0.887563135,0.112436865,0,0.611650485,0,100,4.986740793,-2.04969133,9.789373828,ok,4.986740793,Worsening,TRUE,BiMonth,NA,2004,Likely worsening
86,ECOLI,E. coli,cfu/100ml,WWL,5100657,-38.2039,178.2558,GDC-00003,60,45,747,270,0.166666667,1.609875813,0.10742497,0.946287515,0.053712485,0,0.592592593,0,231,10.39726069,0,20.30449168,ok,4.500978654,Worsening,TRUE,BiMonth,NA,2004,Very likely worsening
87,ECOLI,E. coli,cfu/100ml,WWL,5108000,-38.2923,178.2692,GDC-00004,60,45,747,270,0.166666667,1.609875813,0.10742497,0.946287515,0.053712485,0,0.592592593,0,297,13.26279306,0,26.2827743,ok,4.46558689,Worsening,TRUE,BiMonth,NA,2004,Very likely worsening
